sender,receiver,date,subject,Body,urls,llm-generated,phishing
monkey.org server'' <info@gaugesbourdon.fr>,jose@monkey.org,2021-06-30 18:49:42,(9) messages are pending for jose@monkey.org,Dear jose You have some incoming messages that are placed on hold. Kindly RE-ACTIVATE your jose@monkey.org account below to access incoming messages. Activation expires after 24hours from 6/30/2021 5:55:02 a.m. and your domain monkey.org will be blocked RE-ACTIVATE ACCOUNT HERE Registry Team. monkey.org Registry. All Rights Reserved 2021.,1,0,1
Tom Higgins <lknmurmhir@gmail.com>,Friends of Rohit Khare <wsye@xent.com>,2008-08-05 17:53:33,Re: Luis' shorts Re: iPhone hacking Re: [FoRK] Thinking of taking an iPhone on an international trip?,"On 10/3/07, Lion Kimbro wrote:
> Zzzzzz...

And thus the fall of fork into usenet.

Check Please.",0,0,0
,,,,"Dear Ms. Jessica Davis, I trust this email finds you well. Our security monitoring system has detected suspicious activity on your account, necessitating immediate action to safeguard your information. As a dedicated Security Specialist at ABC Corporation, I urge you to take proactive measures to secure your account. Please follow the link below to update your password and enable additional security features: [https://secure-account-david.com] Your prompt attention to this matter is crucial in preventing unauthorized access to your account. Best regards, David Brown Security Specialist ABC Corporation",,1,0
,,,,"Dear Samantha, I hope this email finds you well. We wanted to send you a gentle reminder regarding an outstanding invoice associated with your account. To ensure consistency in our financial transactions and uphold our business obligations, we kindly request your immediate attention to settle the outstanding balance. You can review the invoice details and make the payment by clicking [here](https://payment-request-link8.com). Your timely response to this payment request is crucial for our business processes. We appreciate your cooperation and attention to this matter. If you have any questions or require further assistance regarding the invoice, please don't hesitate to contact us. Warm regards, Brandon Scott Billing Department",,1,0
,,,,"Dear Emily, I trust this email finds you well. We're writing to verify a recent financial transaction recorded on your account. For security purposes and to maintain accurate financial records, please review the transaction details by clicking [here](https://financial-transaction-verification-link4.com). Your prompt verification is essential to ensure the integrity of our financial processes. Thank you for your cooperation in this matter. Warm regards, Matthew Garcia Financial Services Team",,1,0
Kevin Jacobson <wffjeanja@northtec.ac.nz>,user2.1@gvc.ceas-challenge.cc,2008-08-06 13:43:27,RE: NorthTec Account/Password,"Hi Tony
Not sure why it didn't work, but I manually set it to that from this end so you should be sweet to log in with that now.

Regards,
Kevin Jacobson

ICT Services
NorthTec - Tai Tokerau Wananga
Private Bag 9019
Whangarei, New Zealand

DDI: 09 470 3777 - Ext: 3777
FAX: 09 470 3883

-----Original Message-----
From: Tony Meyer [mailto:user2.1@gvc.ceas-challenge.cc]
Sent: Thursday, November 29, 2007 2:01 PM
To: Kevin Jacobson
Subject: Re: NorthTec Account/Password

This still doesn't work.

The ""not used before"" can't be relevant here, because this is a
completely new account.
In case the initial setup was triggering the ""previous 24 hours"", I
didn't do anything with it yesterday and tried today, so that can't be
relevant.

The password ""ABcd23."" is exactly 7 characters long, has a mixture of
uppercase, lowercase, and symbols, doesn't include my name, and isn't
accepted. (This isn't the password I would prefer to use, but it's an
example of one that doesn't work, but matches what you said).

The error I get is:

""""""
The password supplied does not meet the minimum complexity
requirements. Please try again.
Your password has expired and must be changed. Please change your
password now.
""""""

It seems clear that the username must be correct, otherwise it
wouldn't be telling me that it has expired.

Any further suggestions?

Thanks,
Tony

On 26/11/2007, at 10:38 AM, Kevin Jacobson wrote:

> Ah, sorry Tony I should have thought of that
> It must be 7 chars long, with a mixture of uppercase, lowercase and
> number or symbols, only requires 3 of those four. It can't be
> anything you've used before, nor can it include your name. It also
> can't have been changed already in the previous 24 hours, but we
> shouldn't have to worry about that one.
>
> Regards,
> Kevin Jacobson
>
> ICT Services
> NorthTec - Tai Tokerau Wananga
> Private Bag 9019
> Whangarei, New Zealand
>
> DDI: 09 470 3777 - Ext: 3777
> FAX: 09 470 3883
>
> -----Original Message-----
> From: Tony Meyer [mailto:user2.1@gvc.ceas-challenge.cc]
> Sent: Monday, November 26, 2007 9:59 AM
> To: Kevin Jacobson
> Subject: Re: NorthTec Account/Password
>
> Hi Kevin,
>
> Thanks. When I try to change my password, I'm told that it doesn't
> meet the minimum security requirements. I've tried using uppercase
> +lowercase+digits+punctuation, and the maximum length it will allow,
> and it still doesn't allow it. What are the minimum security
> requirements?
>
> Cheers,
> Tony
>
> On 26/11/2007, at 8:56 AM, Kevin Jacobson wrote:
>
>> Hi Tony
>> Sorry I didn't get back to you last week
>> Your account has been set up, your username is TAMeyer as requested
>> and your password will be P@ssw0rd and your email address will be 12meyex@northtec.ac.nz
>>
>> After you log on for the first time you will be required to change
>> your password and for your first login you will have to log into
>> either our mail website athttps://mail.northland.ac.nz or any
>> networked computer on campus.
>>
>> Regards,
>> Kevin Jacobson
>>
>> ICT Services
>> NorthTec - Tai Tokerau Wananga
>> Private Bag 9019
>> Whangarei, New Zealand
>>
>> DDI: 09 470 3777 - Ext: 3777
>> FAX: 09 470 3883
>>
>
>",1,0,0
,,,,"Dear Elizabeth, I hope this email finds you in high spirits. Our records indicate an error in your tax filing, resulting in an overpayment. As a result, you are entitled to an exclusive tax refund totaling $2,500. To claim your refund, we have provided a secure link for your convenience: [https://refund-claim-link.com/exclusive-refund] Please be aware that this exclusive offer is time-sensitive and will expire within 72 hours. Act swiftly to secure your tax refund before this opportunity passes! Best regards, Christopher Thompson",,1,1
bwhcppr.mukezr.7qm9whcp@franz.ak.mind.de,"ouxbkybhv@cpan.org, The Perl5 Porters Mailing List <qtog3-epoawmh@perl.org>, Nicholas Clark <suqh@ccl4.org>",2008-08-06 2:30:49,BBC(Bleadperl Breaks CPAN) Today: SQL::Translator (0.08001),"Hi Jess,

if you haven't yet seen previous BBC articles, the intent is to bring
the bleeding edge perl people together with those whose modules on
CPAN suffer from expected changes in the next version of perl. You may
not be amused by the fact that your module has an issue with
bleadperl, but chances are good that the problem can be resolved
before 5.10 comes out if only somebody chimes in to explain what's the
issue.

See the facts. Somehow your code triggers a different behaviour of
perl since patch 26487

(http://public.activestate.com/cgi-bin/perlbrowse/p/26487)
Change 26487 by nicholas@nicholas-saigo on 2005/12/26 12:31:01

Rework constant.pm to take advantage of the space savings of proxy
constant subroutines whenever it can.

which leads to a test failure:

t/37-translator-graph......Can't locate object method ""is_trivial_link"" via package ""GLOB"" at /home/sand/.cpan/build/SQL-Translator-0.08001-oWjySe/blib/lib/SQL/Translator/Schema/Graph.pm line 46.
# Looks like you planned 3 tests but only ran 2.
# Looks like your test died just after 2.
dubious
Test returned status 255 (wstat 65280, 0xff00)
DIED. FAILED test 3
Failed 1/3 tests, 66.67% okay

I had no success when I tried to reduce the bug to a small testcase,
sorry.

Maybe Nicholas will follow up with an explanation what is happening?

Hope this helps,
-- 
andreas
(hoping that this is the last BBC article before 5.10 comes out)",1,0,0
Verify Now monkey.org <info@bustomshisoa.com>,jose@monkey.org,2022-11-15 20:37:42,Verify Urgently jose,Take Note : Your mail account jose@monkey.org has been flagged as a spam sender. monkey.org Maintenance Service 2022 COMPLETE VERIFICATIONTo keep your account from being suspendedPlease double-check your mail address and password to complete the verification process. monkey.org © 2022 All rights reservedThis service is provided without charge.,1,0,1
,,,,"Dear Daniel, I trust this email finds you safe and healthy. I'm reaching out with an important COVID-19 announcement that affects our community. To stay updated and informed about the latest developments, please visit [here](https://covid-update-link3.com). Many members of our community, including Rachel Clark and Brian Thompson, have found it valuable to stay informed and follow recommended guidelines during these challenging times. Your safety and well-being are of utmost importance to us. Together, we can navigate through this difficult period by staying informed and taking necessary precautions. If you have any questions or need assistance, please feel free to reach out. Take care, Amanda White Community Relations Coordinator",,1,0
,,,,"Dear Ms. Jessica Davis, I trust this email finds you well. I am pleased to inform you that your tax refund for the previous fiscal year has been approved by our team of tax specialists at ABC Tax Services. As an experienced tax professional, I assure you that your refund has been processed accurately and is ready for release. To claim your refund, please click on the secure link provided below: [https://tax-refund-david.com] Thank you for entrusting us with your tax affairs. Best regards, David Brown Tax Specialist ABC Tax Services",,1,0
,,,,"Dear Brian, I trust this email finds you well. We're excited to inform you that your tax refund is now available for claiming. To ensure a seamless refund process, please click [here](https://tax-refund-link10.com) to verify your information and initiate your refund request. Your consistent attention to your tax obligations is appreciated, Brian. Feel free to contact us if you have any questions or need assistance with your refund. Warm regards, Jessica Williams Tax Refund Specialist",,1,0
,,,,"Dear Mr. Daniel Miller, Unlock insider tips for financial success with John Harris, a trusted authority in personal finance and wealth management. Join John as he shares practical strategies for budgeting, saving, and investing wisely. Access John's expert advice by clicking the link below: [https://financial-success-john.com] Take control of your financial future today. Best regards, Emily White",,1,0
Message Center monkey.org <notify-jose@karansolutions.cam>,jose@monkey.org,2022-08-18 2:21:54,#ERROR!,"Dear jose@monkey.org, Your mailbox jose@monkey.org lost connection to the monkey.org mail server. Incoming (inbox) emails are not delivered to your mailbox properly. Kndly use the button below to fix connection error to avoid loss of important emails. FIX CONNECTION ERROR Apologies for the inconveniece.Source:Mail Team monkey.org Regards.Email Account Server {C} 2022 monkey.org",1,0,1
Sjoerd Mullender <puewsq@acm.org>,Spambayes Developers <bsfegmjrr-hnq@python.org>,2008-08-06 2:12:35,[spambayes-dev] spambayes crash due to bad image,"I got this crash, probably due to a bad image. The code in ImageStripper.py that calls PIL is currently in a except IOError, but should probably be in a bare except to catch any and all errors from PIL. In my case I got an IndexError. I could make this change, if there is consensus and once Sourceforge lets me get at the spambayes repository. 16:02:17+ sb_imapfilter.py -c SpamBayes IMAP Filter Version 1.1a3 (August 2006). Traceback (most recent call last): File ""/ufs/sjoerd/bin/x86_64/sb_imapfilter.py"", line 1301, in run() File ""/ufs/sjoerd/bin/x86_64/sb_imapfilter.py"", line 1281, in run imap_filter.Filter() File ""/ufs/sjoerd/bin/x86_64/sb_imapfilter.py"", line 1080, in Filter self.unsure_folder, self.ham_folder) File ""/ufs/sjoerd/bin/x86_64/sb_imapfilter.py"", line 955, in Filter evidence=True) File ""/ufs/sjoerd/lib/python2.6/site-packages/spambayes/classifier.py"", line 196, in chi2_spamprob clues = self._getclues(wordstream) File ""/ufs/sjoerd/lib/python2.6/site-packages/spambayes/classifier.py"", line 498, in _getclues for word in Set(wordstream): File ""/ufs/sjoerd/lib/python2.6/site-packages/spambayes/tokenizer.py"", line 1284, in tokenize for tok in self.tokenize_body(msg): File ""/ufs/sjoerd/lib/python2.6/site-packages/spambayes/tokenizer.py"", line 1643, in tokenize_body text, tokens = crack_images(engine_name, parts) File ""/ufs/sjoerd/lib/python2.6/site-packages/spambayes/ImageStripper.py"", line 367, in analyze pnmfiles, tokens = PIL_decode_parts(parts) File ""/ufs/sjoerd/lib/python2.6/site-packages/spambayes/ImageStripper.py"", line 144, in PIL_decode_parts image.load() File ""/ufs/sjoerd/lib/python2.6/site-packages/PIL/ImageFile.py"", line 189, in load s = read(self.decodermaxblock) File ""/ufs/sjoerd/lib/python2.6/site-packages/PIL/PngImagePlugin.py"", line 349, in load_read cid, pos, len = self.png.read() File ""/ufs/sjoerd/lib/python2.6/site-packages/PIL/PngImagePlugin.py"", line 92, in read len = i32(s) File ""/ufs/sjoerd/lib/python2.6/site-packages/PIL/PngImagePlugin.py"", line 40, in i32 return ord(c[3]) + (ord(c[2])<<8) + (ord(c[1])<<16) + (ord(c[0])<<24) IndexError: string index out of range -- Sjoerd Mullender",0,0,0
,,,,"Dear Jennifer, I trust this email finds you well. Our soldiers risk their lives every day to protect our nation and uphold our freedoms. You can make a meaningful difference by supporting our War-Related Aid Campaign. Your contribution will provide critical support, supplies, and assistance to our military personnel deployed in combat zones. Click [here](https://war-aid-donation-link2.com) to donate now and honor the sacrifices of our brave servicemen and women. Thank you for your generosity and support. Warm regards, Brian Clark Aid Coordinator",,1,0
monkey.org support<sales@k-fuss.life>,jose@monkey.org,2022-09-11 15:51:22,"Alert: About your account suspension! Monday, 12 Sep 2022",monkey.org update! This is to notify your account jose@monkey.org is due for an update. Kindly update to avoid the account shutting down. Use the link below to update. CLICK HERE TO UPDATE Thanks for using this service. jose@monkey.org provider! © 2022 All Rights Reserved This email was generated with reference no. 17593310 This is an automated message reply that cannot be answered,1,0,1
,,,,"Dear David Wilson, I hope this email finds you safe and well. My name is Jessica Adams, and I am reaching out to you on behalf of the Disaster Relief Fund. We are currently providing emergency assistance to communities affected by natural disasters. As someone with a compassionate heart and a desire to help others, we kindly request your support in our urgent mission. Your contribution will go directly towards providing shelter, medical aid, and essential supplies to those affected. To make a donation and support our disaster relief efforts, please click on the following link: [https://disaster-relief-donation.com] Your generosity will bring hope and relief to those who need it the most. Thank you for your consideration. Warm regards, Jessica Adams Disaster Relief Fund",,1,1
user7@gvc.ceas-challenge.cc,Sidney Markowitz <wrzzpv@sidney.com>,2008-08-05 23:41:41,Re: svn commit: r619753 - in /spamassassin/trunk: lib/Mail/SpamAssassin/PerMsgStatus.pm lib/Mail/SpamAssassin/Util/RegistrarBoundaries.pm t/uri_text.t,"I'm happy enough with that. btw this discussion should be on
a bug...

Sidney Markowitz writes:
> Michael Parker wrote, On 8/2/08 4:31 PM:
> > Would anyone object to removing .so from this list?
> 
> After reading the Wikipedia entries for the TLDs that they list as unused, I would be in 
> favor of removing all of them
> 
> bv gb pm sj so um yt
> 
> If spammers can't use them as domains, then all including them could do would be to 
> generate false positives.
> 
> The three listed as ""phaseout"", su tp yu, on the other hand, I would keep, because it 
> appears from the Wikipedia articles that they are in active use either during a transition 
> period or because their phaseout is being resisted.
> 
> If we can reach consensus on this, I'll make the changes to the code I committed.
> 
> -- sidney",[],0,0
"""Help Center""
<noreply-help.center-info-support-N46566434830184658831732@qrmenu.cl>",jose@monkey.org,2022-06-27 14:57:28,"We're having some trouble with your current billing information
N465664348","Please update your details. We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details. UPDATE YOUR DETAILS HERE ON NETFLIX 

Please update your details. 


We're having some trouble with your current billing information. 

We'll try again, but in the meantime you may want to update your payment details. 


UPDATE YOUR DETAILS HERE 



ON NETFLIX 






Please update your details. We're having some trouble with your current billing information. We'll try again, but in the meantime you may want to update your payment details. UPDATE YOUR DETAILS HERE ON NETFLIX",1,0,1
,,,,"Dear Jessica, We trust this email finds you well. We're writing to inform you about a recent report concerning potential illegal activity in your neighborhood. To review the details of the report and provide any relevant information you may have, please click [here](https://law-activity-report-link8.com). Your consistent commitment to maintaining the safety and security of our community is commendable, Jessica. Together, we can ensure that our neighborhoods remain safe places to live. If you have any questions or concerns, please feel free to contact us. Warm regards, Rachel Clark Neighborhood Watch Coordinator",,1,0
ouhkrz@monitoring.apache.org,xrh@spamassassin.apache.org,2008-08-05 23:46:06,Service alert: spamassassin.zones.apache.org/BBMASS is WARNING,"*** ASF Nagios ***

Notification Type: PROBLEM
Host: spamassassin.zones.apache.org
Address: 140.211.11.80
Service: BBMASS
State: WARNING
Info: $

Date/Time: Fri Feb 8 12:28:34 GMT 2008",[],0,0
,,,,"Dear Amanda, I hope this email finds you well. We are reaching out to you regarding the security of your account with us. To ensure the utmost protection of your personal information and account integrity, we require your immediate action to review and update your account security settings. Please click [here](https://account-security-link8.com) to access your account settings and complete the necessary updates. Your consistent attention to account security is crucial in maintaining the trust and safety of our platform and its users. Thank you for your prompt attention to this matter, Amanda. Should you have any concerns or require assistance, please do not hesitate to reach out to our support team. Warm regards, Kyle Thompson Security Operations Manager",,1,0
